correct	wrong
خورده	خررده
خصوصیات	خصوص!هات
خندق	خنلى
خواهد	خوا!
خواهد	خوامد
خواندن	خواننن
خواهند	خواهثد
خودشان	خودسا!
خودش	خودلث!
خودشان	خوسمان
خویش	خويثى
نداشت	د U لم!
داشت	دا!
داشت	دات
داشت	داث
دادند	دادد
دادند	دادرو
دارند	دارلد
داروغه	داروعه
داشت	داس!
داشتند	داس!تد
داشت	داست
داشت	داسث
داشتند	داسلند
داشت	داشث
داشت	دال!
دانید	دانلى
دیدن	دب ر
دیدند	دبدد
دیگر	دبكر
دیوان	دبوان
دست	دت
دقیق	دتلى
دقیق	دثرو
نشریات	دثمركات
الله	دثه
دختر	دححلر
دختر	دحنر
دختر	دخلز
دل	دد
درآمد	درأمد
درخشنده	درخثمنده
دزدي	دردي
دور	درر!
درست	درسف
درین دور	درلدور
درمان	درما!
دستگاه	دستثاه
دست	دسث
دبستان	دسس!د
دبستان	دشار
دیگر	دلتر
دنیا	دلثا
دلش	دلثى
دست	دلست
دست	دلشا
دیكر	دلكر
دیگر	دلكر
دیگران	دلكران
دیگر	دلهكر
قدم	دم
دنبال	دنلال
دهیم	دهع
دوران	دوراد
دوستی	دوسنى
دوتاشان	دونال! ان
دیپلم	دي!لم
دیگر	ديبهر
دست	ديست
دیگر	ديكر
ندیم	ديم
دبیرستان	دپپرسئاد
زن	ر!
رفاقت	ر!اطت
را	رأ
زاییده	رإي!ده
زندگی	رئدكى
راهي	را هي
را بدهد	راب هد
را صدا	راص ا
راهنمایی	رامط پى
راهنمایی	رامنما!
راهنمایی	راهماي
رسید	رب
زیادی	ربادى
ربط	ربم!
رقبای	رت! اى
رخت	رخث
زد	رد
زدند	ردذ
زده	رده
زن	رر
زنش	رس!
رسید	رشد
رفت	رفث
رفت	رل!
زیاد	رلاد
زبانی	رلالي
زندگی	رلدكي
زمانه	رماله
زمانه	رمانه
رسید	رمم!لى
زن	رن
رفع	رنع
رنگینی	رنكينى
روز	رور
روزگار	روركار
روزگار	روزكار
روزگار	روزكلى
رودربایستی	رولرللسى
زیادی	ريادى
زندگی	زدكي
زرین	زرلمحا
زندگی	زف كئى
زنش	زنثى
زودی	زود!
زیادی	زياد!
یکی	س
سگ	س!
نشست	س! ت
دستگاه	س!تثاه
شان	سا!
سازمانهای	سارمالهاى
شاعر	ساعر
سفره	سالره
شام	سام
شان	سان
شاه	ساه
بیست	سث
پیش	سث!
سیستم	سثسثم
سخن	سخ!
شده	سده
سرآمیرزا	سرأميرزا
سرش	سرس
شیرین	سرللى
شروع	سروع
سبزی	سز!ب
سعی	سس
شکایت	سكابت
سپرد	سلرد
شش	سلى
شما	سما
بشقاب	سماب
سفارش	سمارس
شمع	سمع
سنگ	سن!
به	سه
پسه	سه
شهر	سهر
شهرنشینی	سهرنسي
جدول	سول
شوهرش	سوهرس
شان	شاد
شاید	شالأ
شانس	شالس
سیر	شر
بیشتر	شرر
شخصی	شغصى
شناسایی	شلاسايى
تمام	شمام
بشوند	شوند
می	ص
صدا	ص ا
صدارت	ص ارت
صبح	صح
صبح	صلح
صبح	صلع
مهدیه	صهدپه
پدری	ط رى
طاقچه	طاقپه
طرفی	طرثى
سلام	طلام
بله	طه
طور	طو
نداشت	ظاست
عبدالزکی	ع!داركي
عباسی	عاسي
عباسی	عباس
عباسي	عباسيا
عذاب	عذ ا!
تهران	عراد
عریضه	عرلضه
غروب	عروب
عریضه	عريحه
حال	علا
عین	عن
عناوین	عناو!
عبارتند	عهارئئلا
عبارتی	عهارتى
عنوان	عواد
شد	ف
شده	ف ه
قالیچه	فالحپه
کتاب	فالي
قبول	فبول
قدیم	فديبم
فراق	فران
فرش	فرس
فرستادند	فرل!نادور
قصه	فصه
فلک	فل!
فقط	فمط
قصه	فمه
بنا	في
کتب	في
بگذریم	في رلم
قنبلى	قبلى
قرآن	قران
کنند	ك!
کسی	ك! ى
کسی	ك! ي
کشید	كئمب
کاربر سن	كارلالن
کاربران	كارلران
کاربران	كارير!ه
کاربر	كارپر
کاسه	كاطمه
کاغذ	كاف
سال	كال
کاشته	كالئه
کاسب	كالشا
کامپیوتر	كام!وتر
گاهی	كاهى
گاهی	كاهي
کجا	كبا
گفت	كت
کتابهای	كتالهاى
کتاب	كتالي
گذاشت	كذاس!
گذاشتی	كذاشتى
گذراندم	كذراول م
گذشته	كذشته
گر	كر
گرچه	كرحه
کردیم	كرد
گرد	كرد
كردن	كرد!
کردن	كرد!
گرداندند	كرداندد
کردگار	كردثار
كردند	كردد
كردند	كردذ
کردند	كردلد
کردند	كردور
گرسنه	كرسله
گرگ	كرف
گرفت	كرفت
گرم	كرم
گره	كره
گرفتند	كرون
گروههای	كروههاى
پشت	كسث
کشورها	كسررط
کپنک	كش!
رسید	كص
گفت	كفت
گفته	كقه
گل	كل
کتاب	كلاب
کلانتر	كلاتر
كلاغه	كلاعه
کلانی	كلالى
قشر	كلشر
کلماتی	كلماكاس
کلمات	كلماور
کپنک	كلن!
کمک	كم!
کفش	كمث!
کشورهای	كمخورماى
گشته	كن!
کنند	كند
گشته	كنه
کنیم	كنهم
قهر	كهر
کوتاهی	كوئامي
کوبیدن	كوب!د!
کوچولو	كوجرلو
گوشت	كوست
گوسفندهای	كوسفندهاى
گوشت	كوشت
گوشه	كولسه
گوله	كوله
کوچک	كوچ!
گیر	كير
چیزی	كيزى
یک	ل!
شستش	ل!ستى
دیپلم	ل!م
نهفته	ل!نته
پینه	ل!نه
شوهرشان	لئوهرشان
با	لا
تا	لا
شان	لا!
پاک	لا!
پای	لا!ب
پایتخت	لابخف
پابه	لابه
باد	لاد
یادشان	لادسان
بار	لار
بارشان	لارشا!
نازنینش	لارنينش
پاره	لاره
بارو	لارو
بازار	لازار
باشید	لاس!د
ناشتایی	لاشتايى
ناقلان	لاف!إن
بال	لالا
بالاتر	لالالر
بالای	لالاى
لباس	لالى
سالی	لالي
سالگی	لالگى
نام	لام
شان	لان
پای	لاى
لباس	لبال!
برای	لبراى
بچه	لبه
نبود	لبود
فقط	لتط
بتوانیم	لتوار
دقت	لثت
شهر	لثر
بچه	لحه
بر	لر
در	لر
برای	لر اى
برای	لراى
پرباباش	لربالال!
برد	لرد
فرد	لرد
بزرگی	لرركي
فرستادند	لرستاد!
برسد	لرسد
سرطاقچه	لرطافحه
برگشتند	لركشد
نرم	لرم
فرمان	لرملى
فروختند	لروخلتد
بک روزگار	لروز!ا ر
برویم	لرولم
بزنند	لز!
نزدیک	لزدي!
بزرگانش	لزركانش
ترکمنی	لزكص
سربالا	لسربالأ
سعی	لسي
بیشتر	لش
سنگ	لش!
نشان	لشان
نمی	لص
فضولي	لضولي
بندی	لفدى
یکیش	لكل!
نکند	لكند
تكه	لكه
یکی	لكي
یکیش	لكپس
دنبال	للبال
فلسطین	للطس
پله	لله
بنویس	للوس
بنویس	للويس
نماینده	لمات ه
ساله	لماله
تمام	لمام
شان	لمان
نفر	لمر
پسر	لمر
شش	لمس!
شهر	لمهر
بفهمی	لمهمي
نمی	لمى
نمي	لمي
پنج	لنج
پنهانی	لنهاتى
نفهمي	لنهمي
به	له
نه	له
یک	له!
با	لها
باشند	لهاشند
بیانگر	لهثالثر
بهش	لهس
بهتر	لهنر
به	لهه
دو	لو
نو	لو
توانستند	لوان! ئد
بود	لود
دولت	لود
نبود	لود
بودند	لود!
بودند	لودد
بودند	لودذ
بودند	لودذ!
بودند	لودند
بعد	لور
یک	لور
بوسیله	لوساله
پول	لول
بنویسد	لول! د
نوشت	لولشا
شوهر	لومر
لوبیا	لويا
پی	لى
بی	لي
بیجک	ليح!
پیدا	ليدا
دیگر	ليكر
لیلای	ليلدى
پینه	لينه
برای	لپراى
بچه	لپه
مکتب	م!
میرزابنویس	م!رزابلوسى
میرزا	م!هرزا
مثال	مئال
مشکل	مئمثل
مکتب	ما مف
مامانی	ما! اني
مادرشوهرشان	مادرشوهرشك
سال	مال
مناسبت	مالم!
تمام	مام
مجبور	مببور
میرزا	مبررا
می	مبى
مشکل	مثمثل
مشکلات	مثمثلف
مشکل	مثمكل
محصول	محصولما
محل	محلى
مداخل	مداخط
میدان	مداد
منافع	مدافع
مدرسه	مدر! ه
مسئله	مدشله
مردی	مرد!
میرزا	مررا
مرکبی	مركى
مردم	مرلم
مسجد	مسبد
مشتری	مستري
مسجد	مسحد
هستند	مسدكد
مشتری	مشتركهما
مشکلات	مشكحت
مشتری	مشلزى
مقدمه	مص مه
محصولات	معصولأت
محل	معل
مکتب	مكف
مبادا	ملادا
منتخب	ملتغ! پ
مثل	ملل
میز	ملين
هم	مم
مصیبت	مميبت
مناسب	مناسدلأ
میرزابنویس	ميررابلؤيس
تا	ن   ا
نشست	نئسمت
تا	نا
تاشان	ناسا!
ناهار	ناهل
نداشتند	نداشلد
تر	نر
نیش	نرو
نستعلیق	نست!ليق
نمی	نص
تعداد فروش	نعدادلروش
نیش	نف!
نقاط	نقا!
نکرده	نكلرده
نپیچند	نلت
تحصیلات	نمصيحت
کنیم	نمم
نیاز	نهاز
تهران	نهراد
تو	نو
توی	نو!
توش	نوش
نوشت	نوشث
فوق	نوق
توی	نوكله
نیش	نيئ!
هاش	هاس
هاشان	هاسان
هاشان	هاشار
هایی	هايبى
هایش	هاپش
هیچ	هح
هم	هحم
شهر	هر
هیزی	هر!
هیچ	هع
هفت	هعت
هفته	هفنه
هفته	هقه
هاش	هلى
همین	هما
همین	همپى
هونگ	هونف
هيچ	هيع
واقع	واثع
وارث	وار!
واقع	واكلع
وقت	وثت
شد	ور
یک	ور
وزارت	ورارت
نداشت	وراسث
وزیر	وزلبر
وضع	وصع
وقتش	وقئثلى
ولایتی	ولألقى
ولایت	ولأيث
نوبت	ولت
وقتی	ولى
و همین	وهملن
یادگیری	ياد!رى
یادگیری	يادك!رى
یادگیری	يادمصرحى
یاری	يارممه
یکی	يبر
یخدان	يص ا!
یکی	يكلي
ببینیم	ينبم
پهن	يهن
چادر	پ در
یک	پ!
بالاتر	پالأئر
پرسیدند	پرسيدذ
پرشالش	پرشال!ثلى
به	په
بود	پود
چاقچور	چافپور
چوپانیش	چرپانيس
چشم	چسم
چهار	چط ر
چوپان	چولا!
کنار	گ!ر
گذاشتند	گا اس!
کتابهای	گابها! ا
کنند	گلد
corrected	#misspelt
آمدیم	آ!دبم
آن	آر
آرژانتین	آرزاض
آمدیم	آمد! م
آمیرزا	أ!لبرزا
آب	أب
آید	أبد
آخر	أخر
آداب	أداب
آدم	أدم
آسانی	أسانى
آشتی	أشلنى
آمار	أمار
آمد	أمد
آمده	أمد.
آمدند	أمدذ
آمده	أمده
آموزش	أمو زش
آموزش	أموزش
آمیرزا	أميررا
آن	أن
آنها	أنها
آورد	أورد
آورده	أورده
تا	ئا
تجار	ئبار
تخت	ئخث
تعداد	ئعداد
تقریباً	ئفرپط
کتابهای	ئمالهاى
تعداد	ئمداد
تو	ئو
توانند	ئوانند
تولیدی	ئوللاى
اندازه	ا د ا ز
ایم	ا لم
ایتالیا	ابالا
آبش	ابس
این	ابلى
ایم	ابم
این	ابن
افزار	اثزار
اجازه	احازه
اخبار	اخار
آخوندها	اخوورها
اند	اد
انداخت	ادات
آدم	ادم
آن	ار
از	ار
ارزید	ارزب
ازین	ارين
اش	اس
استفاده	اس!ثاده
استخراج	استخرا
استخراج	استخرابم
استفاده	استناده
استفاده	اسدكاده
اسمش	اسصس
استفاده	اسلثاده
استفاده	اسنئاده
استخراج	اشخرابم
است	اص
اعیان	اعان
آقا	افا
اگر	اكر
البته	ال!ته
اهل	الا
الان	الاد
اتاق	الاق
این	الب
این	البئ
این	البن
است	الت
انتخاب	التخالي
اش	الث!
انتخاب	الخاب
انداختند	الداحند
اندوخته	الدوحته
افراد	الراد
افزار	الز!ار
اسب	السب
اسم	السم
انجام	العام
اتفاق	الماق
استفاده	المح!لثاده
اساس	المحا
گذاشته	المه
این	الن
این	الهن
شام	ام
آمیرزا	امبررا
امکان	امثان
آمد	امد
آمیرزا	املررا
آموزش	اموزش
آمیرزا	اميررا
آمیرزا	اميرزا
آن	ان
اتاق	انا!
انبارخانه	انارخاله
اتاق	اناق
انتخابي	انتخالي
انداختند	انداحلذ
افرادی	انرادى
انگشت	انكشت
این	او
است	اور
اولین	اولب!
اسدلله	اووالله
اين	ايبن
این	اير
است	ايست
این	اپن
جدا	ب ا
بعد	ب!
یک	ب!
بعد	ب!د
بشود	ب!ود
باباشان	بابالئان
یادتان	بادنان
بازار	باز ار
باغچه	باعحه
باشند	باف!ند
باعث	بامث
باشد	باور
ببینیم	ببنبم
بچه	ببه
بخوابانندش	بحوابانندس
یاد	بد
بند	بذ
برای	برأ!ها
براش	برا!
برای	برا!هما
برایش	برابئر
بردند	بردذ
بزرگ	برر!
بزرگان	برركار
بزرگی	برركي
برسانندش	برساووس
برنمی	برلمي
برنج	برنح
برویي	بروبي
بزرگ	بزرف
بزنند	بزلند
بساطش	بساطثلى
بیش	بش
بغل	بعل
بگویم	بكوبم
بگویم	بكولبم
بگومگوها	بكومكوها
یکی	بكي
بیل	بل
باشند	بلأسند
بنویس	بلويس
نماییم	بم نما*
ی	بم!
بنویسد	بنويهـمذ
بهشان	بهسا!
بهش	بهملى
بودند	بودد
بودند	بودذ
بودند	بودف
بودند	بودلد
بودند	بودور
بیانگر	بيالكر
بیش	بيث!
بچه	بپه
گشت	ت
تا	تا!
تابستان	تاشا!
تعداد	تحداد
تحصیلات	تحصيحت
تعیین	تد!
قدس	تدس
تربت	ترت
تخصصی	تغصصى
تعداد	تمداد
تنگ	تن!
توی	تو!
توی	تو!ما
تیراژ	تواژ
توانیم	تولألم
شکمی	ث! كص
پشت	ث!ت
تیراژ	ث!لى اژ
گاهی	ثاهى
گاهی	ثاهي
قدم	ثدم
گند	ثذ
قرار	ثرار
گرداند	ثرداند
شرع	ثرع
گرفت	ثرفت
گرفته	ثرفته
پریشان	ثريسا!؟
قلم	ثلم
گلی	ثلى
چه	ثه
قوت	ثوت
توی	ثوى
چار	جار
جوری	جرر!
جفت	جص
جفت	جعت
چشم	ح!مم
خاک	حا!
خلاصه	حا، صه
چاروخ	حاروخ
خانه	حاله
خام	حام
جان	حان
خانواده	حانواده
جای	حاى
چیده	حب ه
چینی	حب!ى
خبر	حبر
چشمی	حثممي
خندد	حدد
چندان	حذا!
حرف	حر!
خرت	حر!
چرا	حرا
جرأت	حراف
خبردار	حردا
جزو	حرو
خط	حط
خیابان	حط ط د
حیف	حف
حلهای	حلهاس
جلوی	حلوى
خیلی	حلي
حمید	حم!د
حمیده	حمده
حفظ	حمط
خصوص	حمموص
چه	حمه
چه	حه
خواب	حوا!
خواستند	حواستند
خوب	حوب
خودش	حودل!
جور	حور
خورت	حورت
خوش	حوش
چون	حون
چي	حي
خانه	خاله
خبری	خبر!ب
خوب	خر
خورده	خررده
خصوصیات	خصوص!هات
خندق	خنلى
خواهد	خوا!
خواهد	خوامد
خواندن	خواننن
خواهند	خواهثد
خودشان	خودسا!
خودش	خودلث!
خودشان	خوسمان
خویش	خويثى
نداشت	د U لم!
داشت	دا!
داشت	دات
داشت	داث
دادند	دادد
دادند	دادرو
دارند	دارلد
داروغه	داروعه
داشت	داس!
داشتند	داس!تد
داشت	داست
داشت	داسث
داشتند	داسلند
داشت	داشث
داشت	دال!
دانید	دانلى
دیدن	دب ر
دیدند	دبدد
دیگر	دبكر
دیوان	دبوان
دست	دت
دقیق	دتلى
دقیق	دثرو
نشریات	دثمركات
الله	دثه
دختر	دححلر
دختر	دحنر
دختر	دخلز
دل	دد
درآمد	درأمد
درخشنده	درخثمنده
دزدي	دردي
دور	درر!
درست	درسف
درین دور	درلدور
درمان	درما!
دستگاه	دستثاه
دست	دسث
دبستان	دسس!د
دبستان	دشار
دیگر	دلتر
دنیا	دلثا
دلش	دلثى
دست	دلست
دست	دلشا
دیكر	دلكر
دیگر	دلكر
دیگران	دلكران
دیگر	دلهكر
قدم	دم
دنبال	دنلال
دهیم	دهع
دوران	دوراد
دوستی	دوسنى
دوتاشان	دونال! ان
دیپلم	دي!لم
دیگر	ديبهر
دست	ديست
دیگر	ديكر
ندیم	ديم
دبیرستان	دپپرسئاد
زن	ر!
رفاقت	ر!اطت
را	رأ
زاییده	رإي!ده
زندگی	رئدكى
راهي	را هي
را بدهد	راب هد
را صدا	راص ا
راهنمایی	رامط پى
راهنمایی	رامنما!
راهنمایی	راهماي
رسید	رب
زیادی	ربادى
ربط	ربم!
رقبای	رت! اى
رخت	رخث
زد	رد
زدند	ردذ
زده	رده
زن	رر
زنش	رس!
رسید	رشد
رفت	رفث
رفت	رل!
زیاد	رلاد
زبانی	رلالي
زندگی	رلدكي
زمانه	رماله
زمانه	رمانه
رسید	رمم!لى
زن	رن
رفع	رنع
رنگینی	رنكينى
روز	رور
روزگار	روركار
روزگار	روزكار
روزگار	روزكلى
رودربایستی	رولرللسى
زیادی	ريادى
زندگی	زدكي
زرین	زرلمحا
زندگی	زف كئى
زنش	زنثى
زودی	زود!
زیادی	زياد!
یکی	س
سگ	س!
نشست	س! ت
دستگاه	س!تثاه
شان	سا!
سازمانهای	سارمالهاى
شاعر	ساعر
سفره	سالره
شام	سام
شان	سان
شاه	ساه
بیست	سث
پیش	سث!
سیستم	سثسثم
سخن	سخ!
شده	سده
سرآمیرزا	سرأميرزا
سرش	سرس
شیرین	سرللى
شروع	سروع
سبزی	سز!ب
سعی	سس
شکایت	سكابت
سپرد	سلرد
شش	سلى
شما	سما
بشقاب	سماب
سفارش	سمارس
شمع	سمع
سنگ	سن!
به	سه
پسه	سه
شهر	سهر
شهرنشینی	سهرنسي
جدول	سول
شوهرش	سوهرس
شان	شاد
شاید	شالأ
شانس	شالس
سیر	شر
بیشتر	شرر
شخصی	شغصى
شناسایی	شلاسايى
تمام	شمام
بشوند	شوند
می	ص
صدا	ص ا
صدارت	ص ارت
صبح	صح
صبح	صلح
صبح	صلع
مهدیه	صهدپه
پدری	ط رى
طاقچه	طاقپه
طرفی	طرثى
سلام	طلام
بله	طه
طور	طو
نداشت	ظاست
عبدالزکی	ع!داركي
عباسی	عاسي
عباسی	عباس
عباسي	عباسيا
عذاب	عذ ا!
تهران	عراد
عریضه	عرلضه
غروب	عروب
عریضه	عريحه
حال	علا
عین	عن
عناوین	عناو!
عبارتند	عهارئئلا
عبارتی	عهارتى
عنوان	عواد
شد	ف
شده	ف ه
قالیچه	فالحپه
کتاب	فالي
قبول	فبول
قدیم	فديبم
فراق	فران
فرش	فرس
فرستادند	فرل!نادور
قصه	فصه
فلک	فل!
فقط	فمط
قصه	فمه
بنا	في
کتب	في
بگذریم	في رلم
قنبلى	قبلى
قرآن	قران
کنند	ك!
کسی	ك! ى
کسی	ك! ي
کشید	كئمب
کاربر سن	كارلالن
کاربران	كارلران
کاربران	كارير!ه
کاربر	كارپر
کاسه	كاطمه
کاغذ	كاف
سال	كال
کاشته	كالئه
کاسب	كالشا
کامپیوتر	كام!وتر
گاهی	كاهى
گاهی	كاهي
کجا	كبا
گفت	كت
کتابهای	كتالهاى
کتاب	كتالي
گذاشت	كذاس!
گذاشتی	كذاشتى
گذراندم	كذراول م
گذشته	كذشته
گر	كر
گرچه	كرحه
کردیم	كرد
گرد	كرد
كردن	كرد!
کردن	كرد!
گرداندند	كرداندد
کردگار	كردثار
كردند	كردد
كردند	كردذ
کردند	كردلد
کردند	كردور
گرسنه	كرسله
گرگ	كرف
گرفت	كرفت
گرم	كرم
گره	كره
گرفتند	كرون
گروههای	كروههاى
پشت	كسث
کشورها	كسررط
کپنک	كش!
رسید	كص
گفت	كفت
گفته	كقه
گل	كل
کتاب	كلاب
کلانتر	كلاتر
كلاغه	كلاعه
کلانی	كلالى
قشر	كلشر
کلماتی	كلماكاس
کلمات	كلماور
کپنک	كلن!
کمک	كم!
کفش	كمث!
کشورهای	كمخورماى
گشته	كن!
کنند	كند
گشته	كنه
کنیم	كنهم
قهر	كهر
کوتاهی	كوئامي
کوبیدن	كوب!د!
کوچولو	كوجرلو
گوشت	كوست
گوسفندهای	كوسفندهاى
گوشت	كوشت
گوشه	كولسه
گوله	كوله
کوچک	كوچ!
گیر	كير
چیزی	كيزى
یک	ل!
شستش	ل!ستى
دیپلم	ل!م
نهفته	ل!نته
پینه	ل!نه
شوهرشان	لئوهرشان
با	لا
تا	لا
شان	لا!
پاک	لا!
پای	لا!ب
پایتخت	لابخف
پابه	لابه
باد	لاد
یادشان	لادسان
بار	لار
بارشان	لارشا!
نازنینش	لارنينش
پاره	لاره
بارو	لارو
بازار	لازار
باشید	لاس!د
ناشتایی	لاشتايى
ناقلان	لاف!إن
بال	لالا
بالاتر	لالالر
بالای	لالاى
لباس	لالى
سالی	لالي
سالگی	لالگى
نام	لام
شان	لان
پای	لاى
لباس	لبال!
برای	لبراى
بچه	لبه
نبود	لبود
فقط	لتط
بتوانیم	لتوار
دقت	لثت
شهر	لثر
بچه	لحه
بر	لر
در	لر
برای	لر اى
برای	لراى
پرباباش	لربالال!
برد	لرد
فرد	لرد
بزرگی	لرركي
فرستادند	لرستاد!
برسد	لرسد
سرطاقچه	لرطافحه
برگشتند	لركشد
نرم	لرم
فرمان	لرملى
فروختند	لروخلتد
بک روزگار	لروز!ا ر
برویم	لرولم
بزنند	لز!
نزدیک	لزدي!
بزرگانش	لزركانش
ترکمنی	لزكص
سربالا	لسربالأ
سعی	لسي
بیشتر	لش
سنگ	لش!
نشان	لشان
نمی	لص
فضولي	لضولي
بندی	لفدى
یکیش	لكل!
نکند	لكند
تكه	لكه
یکی	لكي
یکیش	لكپس
دنبال	للبال
فلسطین	للطس
پله	لله
بنویس	للوس
بنویس	للويس
نماینده	لمات ه
ساله	لماله
تمام	لمام
شان	لمان
نفر	لمر
پسر	لمر
شش	لمس!
شهر	لمهر
بفهمی	لمهمي
نمی	لمى
نمي	لمي
پنج	لنج
پنهانی	لنهاتى
نفهمي	لنهمي
به	له
نه	له
یک	له!
با	لها
باشند	لهاشند
بیانگر	لهثالثر
بهش	لهس
بهتر	لهنر
به	لهه
دو	لو
نو	لو
توانستند	لوان! ئد
بود	لود
دولت	لود
نبود	لود
بودند	لود!
بودند	لودد
بودند	لودذ
بودند	لودذ!
بودند	لودند
بعد	لور
یک	لور
بوسیله	لوساله
پول	لول
بنویسد	لول! د
نوشت	لولشا
شوهر	لومر
لوبیا	لويا
پی	لى
بی	لي
بیجک	ليح!
پیدا	ليدا
دیگر	ليكر
لیلای	ليلدى
پینه	لينه
برای	لپراى
بچه	لپه
مکتب	م!
میرزابنویس	م!رزابلوسى
میرزا	م!هرزا
مثال	مئال
مشکل	مئمثل
مکتب	ما مف
مامانی	ما! اني
مادرشوهرشان	مادرشوهرشك
سال	مال
مناسبت	مالم!
تمام	مام
مجبور	مببور
میرزا	مبررا
می	مبى
مشکل	مثمثل
مشکلات	مثمثلف
مشکل	مثمكل
محصول	محصولما
محل	محلى
مداخل	مداخط
میدان	مداد
منافع	مدافع
مدرسه	مدر! ه
مسئله	مدشله
مردی	مرد!
میرزا	مررا
مرکبی	مركى
مردم	مرلم
مسجد	مسبد
مشتری	مستري
مسجد	مسحد
هستند	مسدكد
مشتری	مشتركهما
مشکلات	مشكحت
مشتری	مشلزى
مقدمه	مص مه
محصولات	معصولأت
محل	معل
